baza_danych,RK,PC,RD,UDF,etykieta
mongodb,3,1,1.0,18_merge_join,0.18401266996959378
mongodb,3,1,1.0,16_large_agg,0.5120027343533263
mongodb,3,1,1.0,17_left_join,0.3935616468971398
mongodb,3,1,1.0,20_nested_loops,0.1627645537288387
mongodb,3,1,1.0,10_intersect,0.21909450886332998
mongodb,3,1,1.5,18_merge_join,0.16455363444632223
mongodb,3,1,1.5,16_large_agg,0.5093197345383259
mongodb,3,1,1.5,17_left_join,0.395435588561483
mongodb,3,1,1.5,20_nested_loops,0.15359692873208994
mongodb,3,1,1.5,10_intersect,0.21784233372929593
mongodb,3,1,2.0,18_merge_join,0.18373739764856203
mongodb,3,1,2.0,16_large_agg,0.5150018423816229
mongodb,3,1,2.0,17_left_join,0.4091006573937072
mongodb,3,1,2.0,20_nested_loops,0.1891804462527432
mongodb,3,1,2.0,10_intersect,0.21381871025566304
mongodb,3,3,1.0,18_merge_join,0.16839733534536253
mongodb,3,3,1.0,16_large_agg,0.4803223771564414
mongodb,3,3,1.0,17_left_join,0.365300200914497
mongodb,3,3,1.0,20_nested_loops,0.15746350590231722
mongodb,3,3,1.0,10_intersect,0.20201166678095425
mongodb,3,3,1.5,18_merge_join,0.23656096233897367
mongodb,3,3,1.5,16_large_agg,0.5172394110308408
mongodb,3,3,1.5,17_left_join,0.3239349466172435
mongodb,3,3,1.5,20_nested_loops,0.14530071863529923
mongodb,3,3,1.5,10_intersect,0.20294017136049475
mongodb,3,3,2.0,18_merge_join,0.19823069363590914
mongodb,3,3,2.0,16_large_agg,0.5077361580658076
mongodb,3,3,2.0,17_left_join,0.35003698502271835
mongodb,3,3,2.0,20_nested_loops,0.17444379873872015
mongodb,3,3,2.0,10_intersect,0.20763804555784476
mongodb,3,6,1.0,18_merge_join,0.1310092991634546
mongodb,3,6,1.0,16_large_agg,0.48348230508200557
mongodb,3,6,1.0,17_left_join,0.296000866948439
mongodb,3,6,1.0,20_nested_loops,0.14242524880096738
mongodb,3,6,1.0,10_intersect,0.15089543704426878
mongodb,3,6,1.5,18_merge_join,0.18615842101635344
mongodb,3,6,1.5,16_large_agg,0.48111260154474744
mongodb,3,6,1.5,17_left_join,0.3308029538261731
mongodb,3,6,1.5,20_nested_loops,0.16150911474432944
mongodb,3,6,1.5,10_intersect,0.18327190451776473
mongodb,3,6,2.0,18_merge_join,0.14481144396309206
mongodb,3,6,2.0,16_large_agg,0.4662463529892672
mongodb,3,6,2.0,17_left_join,0.36117387865031225
mongodb,3,6,2.0,20_nested_loops,0.13543940617159841
mongodb,3,6,2.0,10_intersect,0.1572614973795753
mongodb,3,9,1.0,18_merge_join,0.1437859480666607
mongodb,3,9,1.0,16_large_agg,0.4204758819582393
mongodb,3,9,1.0,17_left_join,0.332899777610743
mongodb,3,9,1.0,20_nested_loops,0.18525210747277504
mongodb,3,9,1.0,10_intersect,0.15627729995514303
mongodb,3,9,1.5,18_merge_join,0.1272291817145327
mongodb,3,9,1.5,16_large_agg,0.4700956837232932
mongodb,3,9,1.5,17_left_join,0.3041519613288065
mongodb,3,9,1.5,20_nested_loops,0.129010624350041
mongodb,3,9,1.5,10_intersect,0.15639986260528935
mongodb,3,9,2.0,18_merge_join,0.22195876411289378
mongodb,3,9,2.0,16_large_agg,0.4682182925336299
mongodb,3,9,2.0,17_left_join,0.3186636689824523
mongodb,3,9,2.0,20_nested_loops,0.19588915314649724
mongodb,3,9,2.0,10_intersect,0.15486005698556865
mongodb,4,1,1.0,18_merge_join,0.16005438744931103
mongodb,4,1,1.0,16_large_agg,0.4686019524518376
mongodb,4,1,1.0,17_left_join,0.3178712468271251
mongodb,4,1,1.0,20_nested_loops,0.1624982527104178
mongodb,4,1,1.0,10_intersect,0.18965561293996303
